source,model,config,suite,n,successes,success,steps,episode_s,step_ms,calls,query_ms
results_corrected/cronusvla_simplerenv_bridge/action_repeat4/widowx_carrot_on_plate/summary.json,cronusvla_simplerenv_bridge,action_repeat4,widowx_carrot_on_plate,50,0,0.0,60.0,3.556565189657267,59.27608649428779,15.0,nan
results_corrected/cronusvla_simplerenv_bridge/action_repeat4/widowx_put_eggplant_in_basket/summary.json,cronusvla_simplerenv_bridge,action_repeat4,widowx_put_eggplant_in_basket,50,0,0.0,120.0,8.460201094513758,70.50167578761466,30.0,nan
results_corrected/cronusvla_simplerenv_bridge/action_repeat4/widowx_spoon_on_towel/summary.json,cronusvla_simplerenv_bridge,action_repeat4,widowx_spoon_on_towel,50,0,0.0,60.0,3.6024708321201615,60.041180535336025,15.0,nan
results_corrected/cronusvla_simplerenv_bridge/action_repeat4/widowx_stack_cube/summary.json,cronusvla_simplerenv_bridge,action_repeat4,widowx_stack_cube,50,0,0.0,60.0,3.5326898856507616,58.878164760846026,15.0,nan
results_corrected/cronusvla_simplerenv_bridge/depth_pruning1/widowx_carrot_on_plate/summary.json,cronusvla_simplerenv_bridge,depth_pruning1,widowx_carrot_on_plate,50,6,12.0,58.34,7.107603632532991,121.83071019082948,58.34,nan
results_corrected/cronusvla_simplerenv_bridge/depth_pruning1/widowx_put_eggplant_in_basket/summary.json,cronusvla_simplerenv_bridge,depth_pruning1,widowx_put_eggplant_in_basket,50,49,98.0,30.3,3.8122846550820397,125.81797541524882,30.3,nan
results_corrected/cronusvla_simplerenv_bridge/depth_pruning1/widowx_spoon_on_towel/summary.json,cronusvla_simplerenv_bridge,depth_pruning1,widowx_spoon_on_towel,50,15,30.0,51.94,6.33309354797937,121.93095009586773,51.94,nan
results_corrected/cronusvla_simplerenv_bridge/depth_pruning1/widowx_stack_cube/summary.json,cronusvla_simplerenv_bridge,depth_pruning1,widowx_stack_cube,50,1,2.0,59.52,7.188769802199676,120.77906253695693,59.52,nan
results_corrected/cronusvla_simplerenv_bridge/depth_pruning2/widowx_carrot_on_plate/summary.json,cronusvla_simplerenv_bridge,depth_pruning2,widowx_carrot_on_plate,50,8,16.0,57.84,6.744916748246178,116.613360101075,57.84,nan
results_corrected/cronusvla_simplerenv_bridge/depth_pruning2/widowx_put_eggplant_in_basket/summary.json,cronusvla_simplerenv_bridge,depth_pruning2,widowx_put_eggplant_in_basket,50,48,96.0,33.82,4.1455858006468045,122.5779361515909,33.82,nan
results_corrected/cronusvla_simplerenv_bridge/depth_pruning2/widowx_spoon_on_towel/summary.json,cronusvla_simplerenv_bridge,depth_pruning2,widowx_spoon_on_towel,50,16,32.0,50.42,6.04039292906411,119.8015257648574,50.42,nan
results_corrected/cronusvla_simplerenv_bridge/depth_pruning2/widowx_stack_cube/summary.json,cronusvla_simplerenv_bridge,depth_pruning2,widowx_stack_cube,50,0,0.0,60.0,7.067491202396341,117.79152003993902,60.0,nan
results_corrected/cronusvla_simplerenv_bridge/depth_pruning4/widowx_carrot_on_plate/summary.json,cronusvla_simplerenv_bridge,depth_pruning4,widowx_carrot_on_plate,50,7,14.0,56.84,6.392324304473586,112.46172245731151,56.84,nan
results_corrected/cronusvla_simplerenv_bridge/depth_pruning4/widowx_put_eggplant_in_basket/summary.json,cronusvla_simplerenv_bridge,depth_pruning4,widowx_put_eggplant_in_basket,50,47,94.0,34.12,4.022514940244146,117.8931694092657,34.12,nan
results_corrected/cronusvla_simplerenv_bridge/depth_pruning4/widowx_spoon_on_towel/summary.json,cronusvla_simplerenv_bridge,depth_pruning4,widowx_spoon_on_towel,50,3,6.0,59.1,6.7484646973013875,114.18721992049726,59.1,nan
results_corrected/cronusvla_simplerenv_bridge/depth_pruning4/widowx_stack_cube/summary.json,cronusvla_simplerenv_bridge,depth_pruning4,widowx_stack_cube,50,0,0.0,60.0,6.65378050969448,110.89634182824132,60.0,nan
results_corrected/cronusvla_simplerenv_bridge/fixed_foveation_keep20/widowx_carrot_on_plate/summary.json,cronusvla_simplerenv_bridge,fixed_foveation_keep20,widowx_carrot_on_plate,50,5,10.0,57.76,8.49671546937432,147.10379967753326,57.76,nan
results_corrected/cronusvla_simplerenv_bridge/fixed_foveation_keep20/widowx_put_eggplant_in_basket/summary.json,cronusvla_simplerenv_bridge,fixed_foveation_keep20,widowx_put_eggplant_in_basket,50,50,100.0,28.52,4.301146971981507,150.81160490818746,28.52,nan
results_corrected/cronusvla_simplerenv_bridge/fixed_foveation_keep20/widowx_spoon_on_towel/summary.json,cronusvla_simplerenv_bridge,fixed_foveation_keep20,widowx_spoon_on_towel,50,18,36.0,49.4,7.085940314834006,143.44008734481793,49.4,nan
results_corrected/cronusvla_simplerenv_bridge/fixed_foveation_keep20/widowx_stack_cube/summary.json,cronusvla_simplerenv_bridge,fixed_foveation_keep20,widowx_stack_cube,50,0,0.0,60.0,8.668170147961938,144.46950246603228,60.0,nan
